Tacticam File,Matched Broadcast File,Similarity Score
tacticam_frame114_player3.jpg,broadcast_frame116_player7.jpg,0.9551
tacticam_frame114_player4.jpg,broadcast_frame17_player8.jpg,0.9724
tacticam_frame114_player5.jpg,broadcast_frame119_player8.jpg,0.9442
tacticam_frame114_player6.jpg,broadcast_frame97_player1.jpg,0.9652
tacticam_frame114_player7.jpg,broadcast_frame91_player10.jpg,0.9086
tacticam_frame114_player8.jpg,broadcast_frame70_player3.jpg,0.9498
tacticam_frame114_player9.jpg,broadcast_frame41_player7.jpg,0.962
tacticam_frame115_player0.jpg,broadcast_frame99_player6.jpg,0.9622
tacticam_frame115_player1.jpg,broadcast_frame15_player6.jpg,0.9545
tacticam_frame115_player10.jpg,broadcast_frame17_player8.jpg,0.9451
tacticam_frame115_player11.jpg,broadcast_frame105_player1.jpg,0.9459
tacticam_frame115_player12.jpg,broadcast_frame109_player8.jpg,0.9613
tacticam_frame115_player13.jpg,broadcast_frame98_player4.jpg,0.9455
tacticam_frame115_player14.jpg,broadcast_frame25_player8.jpg,0.9508
tacticam_frame115_player15.jpg,broadcast_frame43_player6.jpg,0.9616
tacticam_frame115_player16.jpg,broadcast_frame97_player1.jpg,0.9728
tacticam_frame115_player17.jpg,broadcast_frame48_player8.jpg,0.9625
tacticam_frame115_player18.jpg,broadcast_frame113_player5.jpg,0.9602
tacticam_frame115_player19.jpg,broadcast_frame12_player8.jpg,0.9694
tacticam_frame115_player2.jpg,broadcast_frame115_player6.jpg,0.9508
tacticam_frame115_player3.jpg,broadcast_frame13_player12.jpg,0.9433
tacticam_frame115_player4.jpg,broadcast_frame17_player8.jpg,0.9674
tacticam_frame115_player5.jpg,broadcast_frame98_player4.jpg,0.9428
tacticam_frame115_player6.jpg,broadcast_frame120_player5.jpg,0.9686
tacticam_frame115_player7.jpg,broadcast_frame65_player9.jpg,0.9501
tacticam_frame115_player8.jpg,broadcast_frame120_player4.jpg,0.9487
tacticam_frame115_player9.jpg,broadcast_frame17_player8.jpg,0.9705
tacticam_frame116_player0.jpg,broadcast_frame111_player7.jpg,0.937
tacticam_frame116_player1.jpg,broadcast_frame21_player7.jpg,0.9681
tacticam_frame116_player10.jpg,broadcast_frame109_player3.jpg,0.966
tacticam_frame116_player11.jpg,broadcast_frame97_player1.jpg,0.9672
tacticam_frame116_player12.jpg,broadcast_frame115_player10.jpg,0.9495
tacticam_frame116_player13.jpg,broadcast_frame78_player5.jpg,0.972
tacticam_frame116_player14.jpg,broadcast_frame120_player9.jpg,0.96
tacticam_frame116_player15.jpg,broadcast_frame81_player10.jpg,0.9714
tacticam_frame116_player16.jpg,broadcast_frame35_player4.jpg,0.9365
tacticam_frame116_player17.jpg,broadcast_frame41_player7.jpg,0.9569
tacticam_frame116_player18.jpg,broadcast_frame116_player7.jpg,0.9533
tacticam_frame116_player19.jpg,broadcast_frame17_player8.jpg,0.9629
tacticam_frame116_player2.jpg,broadcast_frame10_player7.jpg,0.9698
tacticam_frame116_player3.jpg,broadcast_frame55_player8.jpg,0.9583
tacticam_frame116_player4.jpg,broadcast_frame17_player8.jpg,0.9626
tacticam_frame116_player5.jpg,broadcast_frame89_player3.jpg,0.9371
tacticam_frame116_player6.jpg,broadcast_frame101_player8.jpg,0.9498
tacticam_frame116_player7.jpg,broadcast_frame91_player12.jpg,0.9559
tacticam_frame116_player8.jpg,broadcast_frame67_player10.jpg,0.9435
tacticam_frame116_player9.jpg,broadcast_frame94_player5.jpg,0.9534
tacticam_frame117_player0.jpg,broadcast_frame115_player6.jpg,0.9564
tacticam_frame117_player1.jpg,broadcast_frame13_player2.jpg,0.9703
tacticam_frame117_player10.jpg,broadcast_frame17_player8.jpg,0.966
tacticam_frame117_player11.jpg,broadcast_frame70_player3.jpg,0.9478
tacticam_frame117_player12.jpg,broadcast_frame114_player8.jpg,0.9759
tacticam_frame117_player13.jpg,broadcast_frame68_player8.jpg,0.9548
tacticam_frame117_player14.jpg,broadcast_frame117_player3.jpg,0.9752
